VCP SETUP D — 2126 stocks — 2015-2026
Total: 841 | WR: 53.7% | R:R: 1.89 | Exp: +5.6%

STOCK        DATE            ENTRY     EXIT    RET%  W  DAYS REASON  
-----------------------------------------------------------------
LLOYDSME     2024-07-04     773.50   708.04    -8.5%  L    15 sl_hit  
MARICO       2024-07-08     631.62   668.55    +5.8%  W    91 time_up 
BRITANNIA    2024-07-10    5608.10  6124.14    +9.2%  W    90 time_up 
VTL          2024-07-10     521.24   439.00   -15.8%  L    89 sl_hit  
SUNTV        2024-07-11     777.64   780.18    +0.3%  W    90 time_up 
METROPOLIS   2024-07-15     517.37   570.93   +10.3%  W    91 time_up 
ITC          2024-07-23     448.74   440.94    -1.7%  L    90 time_up 
SUZLON       2024-07-23      57.83    70.63   +22.1%  W    90 time_up 
DIVISLAB     2024-07-26    4739.79  5710.65   +20.5%  W    90 time_up 
GRANULES     2024-07-30     587.15   551.16    -6.1%  L    90 time_up 
GLAND        2024-07-31    2100.16  1882.71   -10.3%  L    22 sl_hit  
JUBLPHARMA   2024-07-31     765.52  1103.78   +44.2%  W    90 time_up 
PIIND        2024-08-07    4386.80  4510.96    +2.8%  W    90 time_up 
CENTURYPLY   2024-08-13     728.32   814.42   +11.8%  W    90 time_up 
NATCOPHARM   2024-08-22    1535.05  1362.94   -11.2%  L    91 time_up 
JSWSTEEL     2024-09-20     978.91   923.46    -5.7%  L    90 time_up 
ABFRL        2024-09-23     344.50   300.30   -12.8%  L    32 sl_hit  
JUBLFOOD     2024-09-26     686.70   628.06    -8.5%  L     8 sl_hit  
APOLLOHOSP   2024-09-27    7204.98  7232.02    +0.4%  W    90 time_up 
PRAJIND      2024-09-27     791.30   691.39   -12.6%  L    31 sl_hit  
FIVESTAR     2024-10-15     891.66   708.79   -20.5%  L    16 sl_hit  
POLYCAB      2024-10-18    7080.78  6333.81   -10.6%  L    10 sl_hit  
MCX          2024-10-21    1320.76  1200.79    -9.1%  L    91 time_up 
TECHM        2024-10-21    1638.64  1627.51    -0.7%  L    91 time_up 
MFSL         2024-10-23    1271.90  1114.65   -12.4%  L    40 sl_hit  
ASTERDM      2024-10-24     438.97   492.92   +12.3%  W    90 time_up 
RAINBOW      2024-10-28    1494.67  1401.96    -6.2%  L    91 time_up 
FORTIS       2024-11-22     685.04   591.25   -13.7%  L    66 sl_hit  
MANYAVAR     2024-12-02    1418.97  1312.11    -7.5%  L    10 sl_hit  
COROMANDEL   2024-12-16    1799.48  1694.83    -5.8%  L    43 sl_hit  
INDIACEM     2024-12-23     366.25   319.65   -12.7%  L    30 sl_hit  
COFORGE      2024-12-30    1941.10  1458.74   -24.9%  L    60 sl_hit  
WOCKPHARMA   2025-01-03    1519.20  1318.80   -13.2%  L    10 sl_hit  
WIPRO        2025-01-20     281.45   252.39   -10.3%  L    52 sl_hit  
BAJFINANCE   2025-03-21     886.14   900.50    +1.6%  W    90 time_up 
KOTAKBANK    2025-03-21     415.32   428.79    +3.2%  W    90 time_up 
CHAMBLFERT   2025-05-06     712.15   529.27   -25.7%  L    31 sl_hit  
SHREECEM     2025-05-15   31250.25 29269.74    -6.3%  L    18 sl_hit  
APLAPOLLO    2025-05-30    1805.40  1537.73   -14.8%  L    56 sl_hit  
ABBOTINDIA   2025-06-26   32600.95 30195.00    -7.4%  L    90 time_up 
HDFCBANK     2025-06-26     997.42   951.05    -4.7%  L    90 time_up 
SOLARINDS    2025-06-27   17473.54 15904.00    -9.0%  L    13 sl_hit  
DEEPAKFERT   2025-06-30    1695.26  1459.85   -13.9%  L    39 sl_hit  
LAURUSLABS   2025-06-30     724.25   840.26   +16.0%  W    91 time_up 
LTF          2025-07-18     203.15   269.19   +32.5%  W    90 time_up 
NATIONALUM   2025-07-21     187.49   173.75    -7.3%  L    11 sl_hit  
UPL          2025-07-21     713.75   680.80    -4.6%  L    91 time_up 
DALBHARAT    2025-07-22    2315.85  2191.78    -5.4%  L    90 time_up 
INDIANB      2025-07-24     652.15   826.20   +26.7%  W    91 time_up 
AADHARHFC    2025-07-28     516.55   511.20    -1.0%  L    91 time_up 
RBLBANK      2025-07-31     265.86   323.60   +21.7%  W    90 time_up 
M&M          2025-08-18    3383.10  3734.90   +10.4%  W    91 time_up 
CHOICEIN     2025-08-21     786.40   799.75    +1.7%  W    90 time_up 
NAVA         2025-08-21     671.52   569.93   -15.1%  L    78 sl_hit  
AIIL         2025-08-26     625.14   534.32   -14.5%  L    87 sl_hit  
HDFCLIFE     2025-08-26     776.60   761.65    -1.9%  L    90 time_up 
NYKAA        2025-08-26     231.65   271.16   +17.1%  W    90 time_up 
TATACONSUM   2025-09-02    1100.80  1163.80    +5.7%  W    90 time_up 
JSWSTEEL     2025-09-03    1072.20  1162.00    +8.4%  W    90 time_up 
NESTLEIND    2025-09-04    1206.09  1235.23    +2.4%  W    90 time_up 
MAHSCOOTER   2025-09-08   17357.38 15108.00   -13.0%  L    53 sl_hit  
SAIL         2025-09-08     131.45   129.75    -1.3%  L    91 time_up 
AFFLE        2025-09-09    2070.20  1832.80   -11.5%  L    56 sl_hit  
IOC          2025-09-11     137.91   156.25   +13.3%  W    90 time_up 
SARDAEN      2025-09-15     626.15   553.60   -11.6%  L    14 sl_hit  
BHARTIARTL   2025-09-19    1962.40  2092.00    +6.6%  W    90 time_up 
TATAINVEST   2025-09-23     813.80   719.25   -11.6%  L    90 time_up 
BPCL         2025-09-29     322.12   361.41   +12.2%  W    91 time_up 
SCHAEFFLER   2025-09-30    4208.80  3817.20    -9.3%  L    90 time_up 
SHYAMMETL    2025-10-03     970.80   877.85    -9.6%  L    28 sl_hit  
POONAWALLA   2025-10-06     531.45   474.60   -10.7%  L    28 sl_hit  
GRAPHITE     2025-10-09     589.95   537.50    -8.9%  L    57 sl_hit  
MCX          2025-10-09    1741.20  2305.00   +32.4%  W    90 time_up 
TATASTEEL    2025-10-09     176.42   163.47    -7.3%  L    60 sl_hit  
ADANIPORTS   2025-10-16    1479.50  1430.00    -3.4%  L    90 time_up 
ETERNAL      2025-10-16     347.85   317.75    -8.7%  L    15 sl_hit  
CANFINHOME   2025-10-20     832.00   939.15   +12.9%  W    91 time_up 
RELIANCE     2025-10-20    1466.80  1413.60    -3.6%  L    91 time_up 
RADICO       2025-10-23    3283.30  2831.80   -13.8%  L    81 sl_hit  
HINDALCO     2025-10-24     824.45   944.45   +14.6%  W    90 time_up 
VEDL         2025-10-24     495.60   678.65   +36.9%  W    90 time_up 
GRASIM       2025-10-28    2932.90  2688.70    -8.3%  L    27 sl_hit  
LTF          2025-10-28     268.35   285.25    +6.3%  W    91 time_up 
SBIN         2025-10-28     930.25  1053.15   +13.2%  W    91 time_up 
NUVAMA       2025-10-29    1402.54  1265.20    -9.8%  L    90 sl_hit  
CANBK        2025-10-30     132.89   157.74   +18.7%  W    90 time_up 
CGCL         2025-10-30     206.75   179.90   -13.0%  L    41 sl_hit  
BEL          2025-10-31     424.29   384.76    -9.3%  L    38 sl_hit  
GESHIP       2025-10-31    1084.76  1177.90    +8.6%  W    90 time_up 
IDFCFIRSTB   2025-10-31      81.77    83.47    +2.1%  W    90 time_up 
IIFL         2025-10-31     530.67   546.00    +2.9%  W    90 time_up 
INDIANB      2025-10-31     858.70   909.50    +5.9%  W    90 time_up 
JUBLPHARMA   2025-11-03    1169.80  1057.80    -9.6%  L    18 sl_hit  
LICI         2025-11-03     919.90   857.55    -6.8%  L    35 sl_hit  
ALKEM        2025-11-04    5618.70  5477.34    -2.5%  L    90 time_up 
ESCORTS      2025-11-04    3803.12  3530.79    -7.2%  L     6 sl_hit  
KPIL         2025-11-04    1314.50  1199.60    -8.7%  L    20 sl_hit  
TORNTPHARM   2025-11-10    3791.50  3969.98    +4.7%  W    91 time_up 
GRSE         2025-11-11    2778.19  2464.06   -11.3%  L    24 sl_hit  
STARHEALTH   2025-11-14     522.45   465.00   -11.0%  L    20 sl_hit  
CUB          2025-11-17     277.94   275.90    -0.7%  L    91 time_up 
ICICIGI      2025-11-17    2042.90  1922.00    -5.9%  L    91 time_up 
MARICO       2025-11-17     760.70   772.85    +1.6%  W    91 time_up 
HUDCO        2025-11-18     241.50   211.53   -12.4%  L    20 sl_hit  
JPPOWER      2025-11-19      20.27    17.11   -15.6%  L    40 sl_hit  
MSUMI        2025-11-19      48.64    44.80    -7.9%  L    19 sl_hit  
M&MFIN       2025-11-21     342.55   379.40   +10.8%  W    90 time_up 
ASAHIINDIA   2025-11-24    1052.65   951.90    -9.6%  L    91 time_up 
EICHERMOT    2025-11-24    7258.50  8038.50   +10.8%  W    91 time_up 
PTCIL        2025-11-24   17760.00 17932.00    +1.0%  W    91 time_up 
BANKBARODA   2025-12-02     296.90   315.20    +6.2%  W    90 time_up 
NBCC         2025-12-15     115.24   105.18    -8.7%  L    29 sl_hit  
JKTYRE       2025-12-19     485.75   439.70    -9.5%  L    75 sl_hit  
PNBHOUSING   2025-12-19     927.80   860.25    -7.3%  L    34 sl_hit  
GRANULES     2025-12-24     612.40   537.55   -12.2%  L    28 sl_hit  
MANAPPURAM   2025-12-24     314.02   262.75   -16.3%  L    72 sl_hit  
JSL          2025-12-30     834.97   709.00   -15.1%  L    69 sl_hit  
LAURUSLABS   2025-12-30    1091.90   973.30   -10.9%  L    30 sl_hit  
ADANIENSOL   2026-01-01    1046.40   960.60    -8.2%  L     8 sl_hit  
DIVISLAB     2026-01-06    6642.50  6140.00    -7.6%  L    13 sl_hit  
MFSL         2026-01-06    1731.30  1599.00    -7.6%  L    17 sl_hit  
RBLBANK      2026-01-06     320.25   288.60    -9.9%  L    17 sl_hit  
VOLTAS       2026-01-06    1486.20  1290.60   -13.2%  L    15 sl_hit  
OBEROIRLTY   2026-01-09    1684.62  1521.74    -9.7%  L    11 sl_hit  
ICICIPRULI   2026-01-13     681.45   592.95   -13.0%  L    58 sl_hit  
TVSMOTOR     2026-01-28    3728.40  3422.60    -8.2%  L    43 sl_hit  
