VCP SETUP A — 2126 stocks — 2015-2026
Total: 3487 | WR: 54.7% | R:R: 2.01 | Exp: +6.8%

STOCK        DATE            ENTRY     EXIT    RET%  W  DAYS REASON  
-----------------------------------------------------------------
CHAMBLFERT   2016-06-20      55.40    49.30   -11.0%  L    44 sl_hit  
VOLTAS       2016-06-20     302.58   371.27   +22.7%  W    91 time_up 
AMBUJACEM    2016-06-22     210.05   232.48   +10.7%  W    90 time_up 
ACC          2016-06-24    1423.68  1522.53    +6.9%  W    90 time_up 
BAJAJFINSV   2016-06-24     206.97   324.17   +56.6%  W    90 time_up 
UNOMINDA     2016-06-24      37.41    48.83   +30.5%  W    90 time_up 
ADANIPOWER   2016-06-28       6.09     5.65    -7.2%  L    20 sl_hit  
GRAPHITE     2016-06-28      62.38    59.41    -4.8%  L    90 time_up 
CHOLAHLDNG   2016-06-29     304.05   381.32   +25.4%  W    90 time_up 
HSCL         2016-06-29      33.17    38.18   +15.1%  W    90 time_up 
LICHSGFIN    2016-06-29     415.81   489.27   +17.7%  W    90 time_up 
SUNDRMFAST   2016-06-29     170.19   284.90   +67.4%  W    90 time_up 
EIDPARRY     2016-06-30     231.03   222.42    -3.7%  L    90 time_up 
GSPL         2016-06-30     128.84   116.66    -9.5%  L    15 sl_hit  
KSB          2016-06-30     138.27   118.80   -14.1%  L    34 sl_hit  
MARICO       2016-06-30     228.82   247.14    +8.0%  W    90 time_up 
NTPC         2016-06-30      90.32    89.21    -1.2%  L    90 time_up 
SRF          2016-06-30     250.96   344.53   +37.3%  W    90 time_up 
TITAN        2016-06-30     393.07   396.41    +0.8%  W    90 time_up 
TVSMOTOR     2016-06-30     294.20   333.56   +13.4%  W    90 time_up 
3MINDIA      2016-07-01   12342.03 11851.28    -4.0%  L    90 time_up 
BAJFINANCE   2016-07-01      79.27   100.75   +27.1%  W    90 time_up 
KEI          2016-07-01     111.75   109.40    -2.1%  L    90 time_up 
ASAHIINDIA   2016-07-04     155.99   192.17   +23.2%  W    91 time_up 
IFCI         2016-07-04      28.00    26.70    -4.6%  L    91 time_up 
PRAJIND      2016-07-04      87.08    71.27   -18.1%  L    91 time_up 
APLAPOLLO    2016-07-05      91.72    82.56   -10.0%  L    79 sl_hit  
MINDACORP    2016-07-05     117.15   102.76   -12.3%  L    80 sl_hit  
MRPL         2016-07-05      59.04    75.37   +27.6%  W    90 time_up 
RPOWER       2016-07-05      53.70    46.85   -12.8%  L    86 sl_hit  
AKZOINDIA    2016-07-07    1204.60  1300.58    +8.0%  W    90 time_up 
HINDUNILVR   2016-07-07     789.79   749.07    -5.2%  L    90 time_up 
SUNTV        2016-07-07     296.54   409.85   +38.2%  W    90 time_up 
ABB          2016-07-11    1118.95  1022.89    -8.6%  L    36 sl_hit  
BLUESTARCO   2016-07-11     206.93   257.35   +24.4%  W    91 time_up 
JINDALSTEL   2016-07-11      67.89    78.29   +15.3%  W    91 time_up 
SONATSOFTW   2016-07-11      47.58    43.00    -9.6%  L    22 sl_hit  
HDFCBANK     2016-07-12     278.63   297.68    +6.8%  W    90 time_up 
RAMCOCEM     2016-07-12     565.70   611.28    +8.1%  W    90 time_up 
TATASTEEL    2016-07-12      25.18    31.47   +25.0%  W    90 time_up 
NAUKRI       2016-07-13     160.03   173.52    +8.4%  W    92 time_up 
NAVINFLUOR   2016-07-14     410.34   431.56    +5.2%  W    91 time_up 
OLECTRA      2016-07-14      20.22    21.52    +6.4%  W    91 time_up 
PETRONET     2016-07-14      99.36   132.06   +32.9%  W    91 time_up 
BERGEPAINT   2016-07-15     176.69   209.85   +18.8%  W    90 time_up 
CANFINHOME   2016-07-15     235.83   328.38   +39.2%  W    90 time_up 
ASTRAL       2016-07-20     230.71   197.25   -14.5%  L    57 sl_hit  
BATAINDIA    2016-07-20     526.09   467.99   -11.0%  L    65 sl_hit  
JMFINANCIL   2016-07-20      47.72    63.54   +33.1%  W    90 time_up 
HINDZINC     2016-07-21      88.29   112.97   +27.9%  W    90 time_up 
ABREL        2016-07-22     671.08   877.59   +30.8%  W    90 time_up 
BIOCON       2016-07-22     132.79   160.77   +21.1%  W    90 time_up 
HAVELLS      2016-07-22     353.65   384.41    +8.7%  W    90 time_up 
MCX          2016-07-22     190.37   164.60   -13.5%  L    52 sl_hit  
DCMSHRIRAM   2016-07-26     197.61   236.80   +19.8%  W    90 time_up 
FINPIPE      2016-07-26      76.48    78.76    +3.0%  W    90 time_up 
NMDC         2016-07-26      13.96    17.12   +22.7%  W    90 time_up 
YESBANK      2016-07-26     233.03   254.51    +9.2%  W    90 time_up 
AJANTPHARM   2016-07-27    1044.48  1214.68   +16.3%  W    90 time_up 
EICHERMOT    2016-07-27    1895.77  2295.73   +21.1%  W    90 time_up 
LTF          2016-07-27      71.87    87.64   +21.9%  W    90 time_up 
VGUARD       2016-07-27     110.40   147.94   +34.0%  W    90 time_up 
BOSCHLTD     2016-07-28   22292.72 20325.35    -8.8%  L    90 time_up 
ECLERX       2016-07-28     512.37   553.08    +8.0%  W    90 time_up 
PGHH         2016-07-28    5430.87  5917.11    +8.9%  W    90 time_up 
SCI          2016-07-28      68.44    62.16    -9.2%  L    29 sl_hit  
BALRAMCHIN   2016-07-29     115.86    96.72   -16.5%  L    19 sl_hit  
TRENT        2016-07-29     179.99   194.43    +8.0%  W    90 time_up 
CERA         2016-08-02    2254.19  2575.38   +14.2%  W    91 time_up 
IGL          2016-08-03      56.52    75.82   +34.1%  W    90 time_up 
AIAENG       2016-08-04     996.14  1224.17   +22.9%  W    90 time_up 
RHIM         2016-08-04      86.11   118.70   +37.8%  W    90 time_up 
BAJAJ-AUTO   2016-08-05    2250.10  2224.74    -1.1%  L    90 time_up 
GRASIM       2016-08-05     767.31   666.95   -13.1%  L    90 time_up 
HEROMOTOCO   2016-08-05    2499.50  2474.05    -1.0%  L    90 time_up 
HINDALCO     2016-08-08     139.96   158.28   +13.1%  W    91 time_up 
TECHNOE      2016-08-08     315.86   281.69   -10.8%  L    91 time_up 
AARTIIND     2016-08-09     135.49   172.46   +27.3%  W    90 time_up 
FINCABLES    2016-08-09     355.35   394.21   +10.9%  W    90 time_up 
TATAPOWER    2016-08-09      65.37    66.43    +1.6%  W    90 time_up 
CUB          2016-08-10     103.12   119.75   +16.1%  W    90 time_up 
MANAPPURAM   2016-08-10      73.18    85.65   +17.0%  W    90 time_up 
NHPC         2016-08-10      15.83    16.30    +3.0%  W    90 time_up 
ZEEL         2016-08-10     477.34   468.25    -1.9%  L    90 time_up 
