VCP SETUP B — 2126 stocks — 2015-2026
Total: 2322 | WR: 54.1% | R:R: 2.12 | Exp: +6.8%

STOCK        DATE            ENTRY     EXIT    RET%  W  DAYS REASON  
-----------------------------------------------------------------
EIDPARRY     2016-10-07     245.78   212.12   -13.7%  L    45 sl_hit  
NATIONALUM   2016-10-10      30.06    37.49   +24.7%  W    91 time_up 
BAYERCROP    2016-10-13    3738.10  3210.45   -14.1%  L    39 sl_hit  
CANFINHOME   2016-10-14     343.39   295.59   -13.9%  L    28 sl_hit  
JBCHEPHARM   2016-10-14     177.54   155.67   -12.3%  L    32 sl_hit  
CENTURYPLY   2016-10-17     246.61   205.65   -16.6%  L    23 sl_hit  
ICICIBANK    2016-10-17     224.18   233.32    +4.1%  W    91 time_up 
KEI          2016-10-17     119.65   107.45   -10.2%  L    35 sl_hit  
MAHSCOOTER   2016-10-17    1744.73  1389.13   -20.4%  L    91 time_up 
CAPLIPOINT   2016-10-18     279.82   395.55   +41.4%  W    90 time_up 
JUBLPHARMA   2016-10-18     476.89   398.87   -16.4%  L    28 sl_hit  
LICHSGFIN    2016-10-18     525.21   471.49   -10.2%  L    16 sl_hit  
ADANIPORTS   2016-10-20     271.46   277.79    +2.3%  W    90 time_up 
NAVINFLUOR   2016-10-24     527.95   419.34   -20.6%  L    28 sl_hit  
POLYMED      2016-10-24     200.31   170.49   -14.9%  L    28 sl_hit  
WHIRLPOOL    2016-10-24    1105.86   866.07   -21.7%  L    23 sl_hit  
MMTC         2016-10-25      31.11    27.77   -10.7%  L    23 sl_hit  
ZYDUSLIFE    2016-10-25     376.42   345.78    -8.1%  L    14 sl_hit  
COROMANDEL   2016-10-26     245.50   226.15    -7.9%  L    14 sl_hit  
VGUARD       2016-10-26     146.77   119.44   -18.6%  L    23 sl_hit  
NMDC         2016-10-28      18.34    20.48   +11.7%  W    91 time_up 
PCBL         2016-10-28      20.83    17.74   -14.8%  L    13 sl_hit  
ABREL        2016-11-01     979.15   820.17   -16.2%  L    90 time_up 
ACE          2016-11-01      54.13    40.74   -24.7%  L    20 sl_hit  
GESHIP       2016-11-01     286.67   294.94    +2.9%  W    90 time_up 
GLENMARK     2016-11-01     932.32   839.49   -10.0%  L     3 sl_hit  
SAIL         2016-11-01      43.70    53.56   +22.6%  W    90 time_up 
SJVN         2016-11-02      19.18    19.03    -0.8%  L    90 time_up 
PGHH         2016-11-03    5981.67  5947.53    -0.6%  L    90 time_up 
CHOLAHLDNG   2016-11-04     407.16   367.90    -9.6%  L    17 sl_hit  
BAJAJHLDNG   2016-11-07    1858.80  1539.53   -17.2%  L    50 sl_hit  
CGPOWER      2016-11-07      84.86    71.62   -15.6%  L    10 sl_hit  
NEULANDLAB   2016-11-07    1005.55   910.91    -9.4%  L    14 sl_hit  
HINDALCO     2016-11-08     158.09   179.52   +13.6%  W    90 time_up 
JYOTHYLAB    2016-11-08     156.31   139.56   -10.7%  L     7 sl_hit  
CUB          2016-11-09     116.51   128.40   +10.2%  W    90 time_up 
DRREDDY      2016-11-09     617.30   554.40   -10.2%  L    70 sl_hit  
APLAPOLLO    2016-11-10      91.21    83.48    -8.5%  L     5 sl_hit  
BANKINDIA    2016-11-10     109.13    94.63   -13.3%  L    42 sl_hit  
POWERGRID    2016-11-10      67.55    72.08    +6.7%  W    90 time_up 
SBIN         2016-11-10     257.23   253.48    -1.5%  L    90 time_up 
TATASTEEL    2016-11-10      32.86    28.96   -11.9%  L     8 sl_hit  
OIL          2016-11-11      82.41    92.82   +12.6%  W    90 time_up 
NHPC         2016-11-18      16.39    20.50   +25.0%  W    90 time_up 
NTPC         2016-11-18      92.92   101.03    +8.7%  W    90 time_up 
PIIND        2016-11-25     869.21   832.60    -4.2%  L    90 time_up 
BEL          2016-11-28      35.32    38.53    +9.1%  W    91 time_up 
GRAVITA      2016-11-28      38.05    42.61   +12.0%  W    91 time_up 
RECLTD       2016-11-30      49.92    44.76   -10.3%  L    23 sl_hit  
CCL          2016-12-01     243.37   320.17   +31.6%  W    90 time_up 
ONGC         2016-12-01     117.93   118.72    +0.7%  W    90 time_up 
BHARATFORG   2016-12-13     467.03   485.26    +3.9%  W    91 time_up 
MPHASIS      2016-12-14     426.55   461.03    +8.1%  W    90 time_up 
TRIDENT      2016-12-15       4.86     6.75   +38.8%  W    90 time_up 
GLENMARK     2016-12-16     898.27   865.57    -3.6%  L    90 time_up 
JSL          2016-12-19      37.66    70.99   +88.5%  W    91 time_up 
IOC          2016-12-29      57.26    68.77   +20.1%  W    90 time_up 
TIMKEN       2016-12-29     567.77   594.57    +4.7%  W    90 time_up 
VOLTAS       2016-12-29     313.45   392.35   +25.2%  W    90 time_up 
BALRAMCHIN   2016-12-30     112.91   131.26   +16.2%  W    90 time_up 
BPCL         2017-01-03     119.04   122.37    +2.8%  W    90 time_up 
GMRAIRPORT   2017-01-03      11.04    14.69   +33.1%  W    90 time_up 
IGL          2017-01-03      82.89    88.87    +7.2%  W    90 time_up 
KIRLOSBROS   2017-01-03     163.02   246.25   +51.1%  W    90 time_up 
APARINDS     2017-01-04     573.11   684.78   +19.5%  W    91 time_up 
HCLTECH      2017-01-04     332.39   332.34    -0.0%  L    91 time_up 
NLCINDIA     2017-01-04      49.94    73.08   +46.3%  W    91 time_up 
PRAJIND      2017-01-04      73.56    71.31    -3.0%  L    91 time_up 
BBTC         2017-01-05     519.18   825.07   +58.9%  W    90 time_up 
KEI          2017-01-06     131.71   189.56   +43.9%  W    90 time_up 
PCBL         2017-01-09      18.16    27.86   +53.4%  W    91 time_up 
GAIL         2017-01-11      57.32    67.31   +17.4%  W    90 time_up 
INDIGO       2017-01-11     837.00  1052.45   +25.7%  W    90 time_up 
AIAENG       2017-01-12    1323.78  1470.61   +11.1%  W    90 time_up 
BSOFT        2017-01-13      75.51    69.18    -8.4%  L    18 sl_hit  
MARUTI       2017-01-13    5239.99  5587.93    +6.6%  W    90 time_up 
TECHNOE      2017-01-16     318.15   354.84   +11.5%  W    91 time_up 
VTL          2017-01-17     203.95   238.18   +16.8%  W    90 time_up 
GRAPHITE     2017-01-18      79.53    97.77   +22.9%  W    90 time_up 
INDHOTEL     2017-01-18      94.19   113.41   +20.4%  W    90 time_up 
SONATSOFTW   2017-01-18      60.59    48.88   -19.3%  L    61 sl_hit  
MFSL         2017-01-19     565.90   654.50   +15.7%  W    90 time_up 
KEC          2017-01-25     141.97   204.47   +44.0%  W    90 time_up 
OLECTRA      2017-01-25      29.86    94.76  +217.4%  W    90 time_up 
ICICIBANK    2017-01-27     235.66   237.53    +0.8%  W    90 time_up 
MOTHERSON    2017-01-27      37.49    42.33   +12.9%  W    90 time_up 
ALKEM        2017-02-02    1619.50  1820.78   +12.4%  W    90 time_up 
CANBK        2017-02-02      50.65    64.02   +26.4%  W    90 time_up 
KIRLOSENG    2017-02-02     285.87   337.91   +18.2%  W    90 time_up 
POLYMED      2017-02-02     248.02   263.17    +6.1%  W    90 time_up 
IDBI         2017-02-03      80.58    76.99    -4.5%  L    90 time_up 
NATCOPHARM   2017-02-03     663.13   828.39   +24.9%  W    90 time_up 
EIDPARRY     2017-02-07     269.24   303.72   +12.8%  W    90 time_up 
CIPLA        2017-02-08     566.89   523.51    -7.7%  L    75 sl_hit  
ADANIPORTS   2017-02-10     296.20   342.64   +15.7%  W    90 time_up 
TVSMOTOR     2017-02-10     392.38   477.94   +21.8%  W    90 time_up 
JINDALSTEL   2017-02-15      88.50   112.51   +27.1%  W    90 time_up 
ASAHIINDIA   2017-02-17     196.76   229.46   +16.6%  W    90 time_up 
SOLARINDS    2017-02-20     714.46   799.84   +11.9%  W    91 time_up 
HEG          2017-02-22      32.20    43.84   +36.2%  W    90 time_up 
MAHABANK     2017-02-22      30.22    27.14   -10.2%  L    90 time_up 
GODREJCP     2017-02-23     513.59   545.03    +6.1%  W    90 time_up 
JINDALSAW    2017-02-27      33.28    32.80    -1.4%  L    91 time_up 
MAHSEAMLES   2017-03-02     159.17   154.65    -2.8%  L    90 time_up 
GRAVITA      2017-03-07      46.70    73.36   +57.1%  W    90 time_up 
SUPREMEIND   2017-03-10     953.98  1068.75   +12.0%  W    90 time_up 
ABREL        2017-03-16     976.86  1004.40    +2.8%  W    90 time_up 
ABFRL        2017-03-17     153.67   177.38   +15.4%  W    90 time_up 
